id,name,rating,download,tags
com.epicgames.fortnite,Fortnite,4.2star,10M+,"#5 top free action,Action,Shooter,Tactical shooter,Stylized,Intense"
com.madfingergames.legends,Shadowgun Legends: Online FPS,4.3star,10M+,"Action,Shooter,Tactical shooter,Single player,Multiplayer,Stylized,Stylized-realistic,Intense,Science fiction,Space"
com.pixonic.wwr,War Robots Multiplayer Battles,4.5star,100M+,"Action,Shooter,Vehicle combat,Multiplayer,Competitive multiplayer,Stylized,Robot,Battling"
com.gamedevltd.modernstrike,Modern Strike Online: PvP FPS,4.5star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.imangi.templerun2,Temple Run 2: Endless Escape,4.1star,1B+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Miscellaneous,Relics,Dodge,Offline"
com.my.evolution2,Evolution 2: Shooting games,4.3star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Weapons,Gun,Battling"
com.gamedevltd.wwh,World War Heroes — WW2 5v5 FPS,4.4star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Weapons,Gun"
air.ru.pragmatix.wormix.mobile,Wormix: PvP Tactical Shooter,3.1star,5M+,"Action,Shooter,Artillery shooter,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized"
and.lihuhu.tilesinhole,Tiles in Hole: Black Hole,4.8star,5M+,"#2 top free casual,Action,IO game,Single player,Stylized,Offline"
com.pixeltoys.freeblade,"Warhammer 40,000: Freeblade",4.7star,1M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Battling,Mecha,Offline"
com.protostar.starfish,Super Starfish,4.8star,10M+,"Action,Arcade,Single player,Stylized,Science fiction,Space,Offline,Play Pass"
com.pikpok.dr2.play,Into the Dead 2,4.5star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Battling,Weapons,Gun,Offline"
com.activision.callofduty.shooter,Call of Duty®: Mobile,3.8star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Modern,Military,Competitive"
com.netease.g108na,Destiny: Rising,3.2star,1M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction"
com.my.warface.online.fps.pvp.action.shooter,Warface GO: Экшен игры по сети,4.5star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Modern,Military"
com.herogames.gplay.crisisactionsa,Crisis Action: 7th Anniversary,2.7star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction,Cyberpunk,Intense"
com.squareenixmontreal.hitmansniperandroid,Hitman Sniper,4.1star,10M+,"Action,Shooter,Sniper,Casual,Single player,Stylized,Assassin,Weapons,Gun"
com.birdletter.villains.android,Villains: Robot BattleRoyale,3.5star,100K+,"Action,Shooter,Multiplayer,Competitive multiplayer,Single player,Stylized"
com.my.hawk.air.shooter,HAWK: Airplane Space games,4.0star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Vehicles,Airplane,Battling"
com.FDGEntertainment.BananaKong2.gp,Banana Kong 2,4.8star,10M+,"Action,Platformer,Casual,Single player,Stylized,Cartoon,Jungle,Offline"
and.brainworks.holeemall,Hole Em All: Collect Master,4.6star,10M+,"Action,IO game,Single player,Stylized,Offline"
games.omicron.neonflight,Neon Wings,3.9star,1M+,"Action,Shooter,Bulletstorm,Single player,Stylized,Intense,Science fiction,Space,Offline"
com.EternalStudio.SurvivorZ,Survivor Z: Zombie Survival,4.3star,5M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Low poly,Immersive,Science fiction,Apocalyptic,Offline"
com.netease.ko,Knives Out,3.6star,10M+,"Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer,Realistic,Weapons,Gun,Battling"
com.miniclip.ultimatehunting,Hunting Battle: Hunter Game,4.2star,5M+,"Action,Shooter,Hunting,Casual,Multiplayer,Competitive multiplayer,Single player,Weapons,Gun"
com.xd.t3.global,T3 Arena,4.2star,5M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Arena"
com.actgames.bbee.gl,BlazBlue Entropy Effect,3.3star,500K+,"Action,Platformer,Hack & slash,Single player,Stylized,Intense"
com.miHoYo.tot.glb,Tears of Themis,3.8star,1M+,"Adventure,Interactive story,Casual,Single player,Stylized,Anime,Detective,Romance"
com.playrix.manormatters,Manor Matters,4.6star,10M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Miscellaneous,Puzzles,Connect,Offline"
com.tinyco.potter,Harry Potter: Hogwarts Mystery,3.8star,50M+,"Adventure,Interactive story,Casual,Single player,Stylized,Miscellaneous,Magic,School"
com.chillingo.robberybob2.android.gplay,Robbery Bob 2: Double Trouble,4.3star,100M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Cartoon,Offline"
com.beemoov.amoursucre.ng.android,My Candy Love NewGen ®,3.0star,500K+,"Adventure,Interactive story,Casual,Single player,Stylized"
com.mytona.seekersnotes.android,Seekers Notes: Hidden Objects,4.5star,10M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Detective,Miscellaneous,Puzzles,Offline"
com.mars.avgchapters,Chapters: Interactive Stories,4.2star,10M+,"Adventure,Interactive story,Casual,Single player,Realistic,Connect"
com.chillingo.robberybobfree.android.row,Robbery Bob - King of Sneak,4.4star,100M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Cartoon,Offline"
com.g5e.sherlock.android,Sherlock・Hidden Object Mystery,4.6star,5M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Miscellaneous,Puzzles,Detective,Offline"
com.adoregames.coastalhill,Hidden Objects: Coastal Hill,4.6star,5M+,"Adventure,Puzzle-adventure,Casual,Stylized,Stylized-realistic,Miscellaneous,Puzzles,Detective"
com.FoxieVentures.EquestrianHorseRidingGame,Star Equestrian - Horse Ranch,3.7star,1M+,"Simulation,Single player,Stylized,Stylized-realistic,Animals,Horse,Immersive"
com.infoldgames.infinitynikkien,Infinity Nikki,3.8star,1M+,"Adventure,Casual,Stylized,Immersive,Fantasy,Fairy tale"
com.kool2play.miscrits,Miscrits,4.3star,100K+,"Adventure,Multiplayer,Competitive multiplayer,Single player,Stylized,Immersive,Fantasy,Medieval fantasy"
com.g5e.homicidesquadpg.android,Homicide Squad: New York Cases,4.8star,5M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Detective,City,Offline"
com.dominigames.mf,Mystery Files: Hidden Objects,4.1star,1M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Mystery,Offline"
com.Level_5.MysteryRoomENG,LAYTON BROTHERS MYSTERY ROOM,4.5star,1M+,"Adventure,Puzzle-adventure,Single player,Stylized,Offline"
com.telltalegames.fables100,The Wolf Among Us,4.1star,5M+,"Adventure,Interactive story,Casual,Stylized,Mystery"
com.g5e.nightmaresdeep.android,Nightmares from the Deep®,4.3star,1M+,"Adventure,Puzzle-adventure,Stylized,Stylized-realistic"
com.dominigames.cc10.free2play,Labyrinths of World 10 f2p,4.7star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.dominigames.ch3.free2play,Christmas Spirit 3 f2p,4.8star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Mystery,Offline"
com.g5e.motopg.android,Mystery of the Opera,4.5star,100K+,"Adventure,Puzzle-adventure,Stylized,Stylized-realistic"
com.dominigames.sl4.free2play,Spirit Legends 4 f2p,3.0star,100K+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Stylized-realistic,Offline"
com.solve.it.visual.novel.death.of.a.ceo.text.adventure,Solve It - A visual novel,4.3star,100K+,"Adventure,Interactive story,Casual,Stylized"
com.dominigames.ch2.free2play,Christmas Spirit 2 f2p,4.7star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.artifexmundi.demonhunter4.gp.free,Demon Hunter 4,4.4star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Mystery,Offline"
com.mars.escape,My Escape: My Secret Crush,3.1star,1M+,"Adventure,Interactive story,Casual,Single player,Stylized,Romance"
com.prettysimple.criminalcaseandroid,Criminal Case,4.4star,100M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Detective,Mystery,Offline"
com.dominigames.dr6.free2play,Dark Romance 6 f2p,3.8star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.dominigames.dr5.free2play,Dark Romance 5 f2p,3.9star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.imangi.templerun2,Temple Run 2: Endless Escape,4.1star,1B+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Miscellaneous,Relics,Dodge,Offline"
com.tiltingpoint.spongebob,SpongeBob: Krusty Cook-Off,3.9star,50M+,"Simulation,Time management,Arcade,Single player,Stylized,Cartoon,Cooking,Cute,Offline"
com.kiloo.subwaysurf,Subway Surfers,4.5star,1B+,"#2 top free arcade,Action,Platformer,Runner,Arcade,Single player,Stylized,Experiences,City,Offline"
com.sybogames.subway.surfers.game,Subway Surfers City,4.7star,10M+,"#1 top free action,Action,Platformer,Runner,Arcade,Stylized,Intense"
com.masomo.headball2,Head Ball 2 - Online Soccer,3.8star,100M+,"Sports,Soccer,Arcade,Multiplayer,Competitive multiplayer,Stylized,Sports,Competitive"
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,4.3star,500M+,"Action,Action-adventure,Survival,Arcade,Single player,Stylized,Animals,Shark,Ocean,Offline,Play Pass"
com.ea.game.nfs14_row,Need for Speed™ No Limits,4.2star,100M+,"#9 top free racing,Racing,Car race,Arcade,Multiplayer,Competitive multiplayer,Single player,Realistic,Vehicles,Sports car,Vehicles,Car"
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,4.5star,500M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Cartoon,Intense,Offline"
com.outfit7.herodash,Talking Tom Hero Dash,4.4star,500M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Cartoon,Animals,Cat,Science fiction,Steampunk,Offline"
com.biglime.cookingmadness,Cooking Madness: A Chef's Game,4.5star,100M+,"Simulation,Time management,Arcade,Single player,Stylized,Cooking,Cafe & restaurant,Offline"
com.youmusic.magictiles,Magic Tiles 3: Игра на пианино,3.7star,500M+,"#2 top free music,Music,Performance,Arcade,Single player,Abstract,Miscellaneous,Musical instruments,Intense,Offline"
com.FDGEntertainment.redball4.gp,Red Ball 4,4.6star,100M+,"#6 top free arcade,Action,Platformer,Arcade,Single player,Stylized,Cartoon,Jump,Cute,Offline,Play Pass"
games.vaveda.militaryoverturn,Tower War - Tactical Conquest,3.8star,100M+,"Strategy,Tower defense,Arcade,Single player,Stylized,City,Immersive,Offline"
com.sega.ColorfulStage.en,HATSUNE MIKU: COLORFUL STAGE!,4.3star,10M+,"Music,Performance,Arcade,Single player,Stylized,Anime,Celebrity & idol,Intense"
com.pocketchamps.game,Pocket Champs: 3D Racing Games,3.9star,50M+,"Action,IO game,Arcade,Single player,Stylized,Competitive"
com.zeptolab.ctr.ads,Cut the Rope,4.5star,100M+,"Puzzle,Physics,Arcade,Single player,Stylized,Cartoon,Miscellaneous,Puzzles,Monster,Offline,Play Pass"
com.epicgames.fortnite,Fortnite,4.2star,10M+,"#5 top free action,Action,Shooter,Tactical shooter,Stylized,Intense"
com.madfingergames.legends,Shadowgun Legends: Online FPS,4.3star,10M+,"Action,Shooter,Tactical shooter,Single player,Multiplayer,Stylized,Stylized-realistic,Intense,Science fiction,Space"
com.pixonic.wwr,War Robots Multiplayer Battles,4.5star,100M+,"Action,Shooter,Vehicle combat,Multiplayer,Competitive multiplayer,Stylized,Robot,Battling"
com.gamedevltd.modernstrike,Modern Strike Online: PvP FPS,4.5star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.imangi.templerun2,Temple Run 2: Endless Escape,4.1star,1B+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Miscellaneous,Relics,Dodge,Offline"
com.my.evolution2,Evolution 2: Shooting games,4.3star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Weapons,Gun,Battling"
com.gamedevltd.wwh,World War Heroes — WW2 5v5 FPS,4.4star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Weapons,Gun"
air.ru.pragmatix.wormix.mobile,Wormix: PvP Tactical Shooter,3.1star,5M+,"Action,Shooter,Artillery shooter,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized"
and.lihuhu.tilesinhole,Tiles in Hole: Black Hole,4.8star,5M+,"#2 top free casual,Action,IO game,Single player,Stylized,Offline"
com.pixeltoys.freeblade,"Warhammer 40,000: Freeblade",4.7star,1M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Battling,Mecha,Offline"
com.protostar.starfish,Super Starfish,4.8star,10M+,"Action,Arcade,Single player,Stylized,Science fiction,Space,Offline,Play Pass"
com.pikpok.dr2.play,Into the Dead 2,4.5star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Battling,Weapons,Gun,Offline"
com.activision.callofduty.shooter,Call of Duty®: Mobile,3.8star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Modern,Military,Competitive"
com.netease.g108na,Destiny: Rising,3.2star,1M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction"
com.my.warface.online.fps.pvp.action.shooter,Warface GO: Экшен игры по сети,4.5star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Modern,Military"
com.herogames.gplay.crisisactionsa,Crisis Action: 7th Anniversary,2.7star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction,Cyberpunk,Intense"
com.squareenixmontreal.hitmansniperandroid,Hitman Sniper,4.1star,10M+,"Action,Shooter,Sniper,Casual,Single player,Stylized,Assassin,Weapons,Gun"
com.birdletter.villains.android,Villains: Robot BattleRoyale,3.5star,100K+,"Action,Shooter,Multiplayer,Competitive multiplayer,Single player,Stylized"
com.my.hawk.air.shooter,HAWK: Airplane Space games,4.0star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Vehicles,Airplane,Battling"
com.FDGEntertainment.BananaKong2.gp,Banana Kong 2,4.8star,10M+,"Action,Platformer,Casual,Single player,Stylized,Cartoon,Jungle,Offline"
and.brainworks.holeemall,Hole Em All: Collect Master,4.6star,10M+,"Action,IO game,Single player,Stylized,Offline"
games.omicron.neonflight,Neon Wings,3.9star,1M+,"Action,Shooter,Bulletstorm,Single player,Stylized,Intense,Science fiction,Space,Offline"
com.EternalStudio.SurvivorZ,Survivor Z: Zombie Survival,4.3star,5M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Low poly,Immersive,Science fiction,Apocalyptic,Offline"
com.netease.ko,Knives Out,3.6star,10M+,"Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer,Realistic,Weapons,Gun,Battling"
com.miniclip.ultimatehunting,Hunting Battle: Hunter Game,4.2star,5M+,"Action,Shooter,Hunting,Casual,Multiplayer,Competitive multiplayer,Single player,Weapons,Gun"
com.halfbrick.dantheman,Dan the Man: Action Platformer,4.6star,100M+,"Action,Platformer,Run & gun,Casual,Single player,Stylized,Pixelated,Smash & beat,Funny,Offline"
com.xd.t3.global,T3 Arena,4.2star,5M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Arena"
com.actgames.bbee.gl,BlazBlue Entropy Effect,3.3star,500K+,"Action,Platformer,Hack & slash,Single player,Stylized,Intense"
com.miHoYo.tot.glb,Tears of Themis,3.8star,1M+,"Adventure,Interactive story,Casual,Single player,Stylized,Anime,Detective,Romance"
com.playrix.manormatters,Manor Matters,4.6star,10M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Miscellaneous,Puzzles,Connect,Offline"
com.tinyco.potter,Harry Potter: Hogwarts Mystery,3.8star,50M+,"Adventure,Interactive story,Casual,Single player,Stylized,Miscellaneous,Magic,School"
com.chillingo.robberybob2.android.gplay,Robbery Bob 2: Double Trouble,4.3star,100M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Cartoon,Offline"
com.beemoov.amoursucre.ng.android,My Candy Love NewGen ®,3.0star,500K+,"Adventure,Interactive story,Casual,Single player,Stylized"
com.mytona.seekersnotes.android,Seekers Notes: Hidden Objects,4.5star,10M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Detective,Miscellaneous,Puzzles,Offline"
com.mars.avgchapters,Chapters: Interactive Stories,4.2star,10M+,"Adventure,Interactive story,Casual,Single player,Realistic,Connect"
com.chillingo.robberybobfree.android.row,Robbery Bob - King of Sneak,4.4star,100M+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Cartoon,Offline"
com.g5e.sherlock.android,Sherlock・Hidden Object Mystery,4.6star,5M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Miscellaneous,Puzzles,Detective,Offline"
com.adoregames.coastalhill,Hidden Objects: Coastal Hill,4.6star,5M+,"Adventure,Puzzle-adventure,Casual,Stylized,Stylized-realistic,Miscellaneous,Puzzles,Detective"
com.FoxieVentures.EquestrianHorseRidingGame,Star Equestrian - Horse Ranch,3.7star,1M+,"Simulation,Single player,Stylized,Stylized-realistic,Animals,Horse,Immersive"
com.infoldgames.infinitynikkien,Infinity Nikki,3.8star,1M+,"Adventure,Casual,Stylized,Immersive,Fantasy,Fairy tale"
com.kool2play.miscrits,Miscrits,4.3star,100K+,"Adventure,Multiplayer,Competitive multiplayer,Single player,Stylized,Immersive,Fantasy,Medieval fantasy"
com.g5e.homicidesquadpg.android,Homicide Squad: New York Cases,4.8star,5M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Detective,City,Offline"
com.dominigames.mf,Mystery Files: Hidden Objects,4.1star,1M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Mystery,Offline"
com.Level_5.MysteryRoomENG,LAYTON BROTHERS MYSTERY ROOM,4.5star,1M+,"Adventure,Puzzle-adventure,Single player,Stylized,Offline"
com.telltalegames.fables100,The Wolf Among Us,4.1star,5M+,"Adventure,Interactive story,Casual,Stylized,Mystery"
com.g5e.nightmaresdeep.android,Nightmares from the Deep®,4.3star,1M+,"Adventure,Puzzle-adventure,Stylized,Stylized-realistic"
com.dominigames.cc10.free2play,Labyrinths of World 10 f2p,4.7star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.dominigames.ch3.free2play,Christmas Spirit 3 f2p,4.8star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Mystery,Offline"
com.g5e.motopg.android,Mystery of the Opera,4.5star,100K+,"Adventure,Puzzle-adventure,Stylized,Stylized-realistic"
com.dominigames.sl4.free2play,Spirit Legends 4 f2p,3.0star,100K+,"Adventure,Puzzle-adventure,Casual,Single player,Stylized,Stylized-realistic,Offline"
com.solve.it.visual.novel.death.of.a.ceo.text.adventure,Solve It - A visual novel,4.3star,100K+,"Adventure,Interactive story,Casual,Stylized"
com.dominigames.ch2.free2play,Christmas Spirit 2 f2p,4.7star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.artifexmundi.demonhunter4.gp.free,Demon Hunter 4,4.4star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Mystery,Offline"
com.mars.escape,My Escape: My Secret Crush,3.1star,1M+,"Adventure,Interactive story,Casual,Single player,Stylized,Romance"
com.prettysimple.criminalcaseandroid,Criminal Case,4.4star,100M+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Detective,Mystery,Offline"
com.dominigames.dr6.free2play,Dark Romance 6 f2p,3.8star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.dominigames.dr5.free2play,Dark Romance 5 f2p,3.9star,100K+,"Adventure,Puzzle-adventure,Single player,Stylized,Stylized-realistic,Offline"
com.imangi.templerun2,Temple Run 2: Endless Escape,4.1star,1B+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Miscellaneous,Relics,Dodge,Offline"
com.tiltingpoint.spongebob,SpongeBob: Krusty Cook-Off,3.9star,50M+,"Simulation,Time management,Arcade,Single player,Stylized,Cartoon,Cooking,Cute,Offline"
com.kiloo.subwaysurf,Subway Surfers,4.5star,1B+,"#2 top free arcade,Action,Platformer,Runner,Arcade,Single player,Stylized,Experiences,City,Offline"
com.sybogames.subway.surfers.game,Subway Surfers City,4.7star,10M+,"#1 top free action,Action,Platformer,Runner,Arcade,Stylized,Intense"
com.masomo.headball2,Head Ball 2 - Online Soccer,3.8star,100M+,"Sports,Soccer,Arcade,Multiplayer,Competitive multiplayer,Stylized,Sports,Competitive"
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,4.3star,500M+,"Action,Action-adventure,Survival,Arcade,Single player,Stylized,Animals,Shark,Ocean,Offline,Play Pass"
com.ea.game.nfs14_row,Need for Speed™ No Limits,4.2star,100M+,"#9 top free racing,Racing,Car race,Arcade,Multiplayer,Competitive multiplayer,Single player,Realistic,Vehicles,Sports car,Vehicles,Car"
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,4.5star,500M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Cartoon,Intense,Offline"
com.outfit7.herodash,Talking Tom Hero Dash,4.4star,500M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Cartoon,Animals,Cat,Science fiction,Steampunk,Offline"
com.biglime.cookingmadness,Cooking Madness: A Chef's Game,4.5star,100M+,"Simulation,Time management,Arcade,Single player,Stylized,Cooking,Cafe & restaurant,Offline"
com.youmusic.magictiles,Magic Tiles 3: Игра на пианино,3.7star,500M+,"#2 top free music,Music,Performance,Arcade,Single player,Abstract,Miscellaneous,Musical instruments,Intense,Offline"
com.FDGEntertainment.redball4.gp,Red Ball 4,4.6star,100M+,"#6 top free arcade,Action,Platformer,Arcade,Single player,Stylized,Cartoon,Jump,Cute,Offline,Play Pass"
games.vaveda.militaryoverturn,Tower War - Tactical Conquest,3.8star,100M+,"Strategy,Tower defense,Arcade,Single player,Stylized,City,Immersive,Offline"
com.sega.ColorfulStage.en,HATSUNE MIKU: COLORFUL STAGE!,4.3star,10M+,"Music,Performance,Arcade,Single player,Stylized,Anime,Celebrity & idol,Intense"
com.pocketchamps.game,Pocket Champs: 3D Racing Games,3.9star,50M+,"Action,IO game,Arcade,Single player,Stylized,Competitive"
com.zeptolab.ctr.ads,Cut the Rope,4.5star,100M+,"Puzzle,Physics,Arcade,Single player,Stylized,Cartoon,Miscellaneous,Puzzles,Monster,Offline,Play Pass"
com.superb.rhv,Rhythm Hive,4.0star,10M+,"Music,Performance,Arcade,Single player,Abstract,Intense,Modern"
com.CarXTech.highWay,CarX Highway Racing,4.7star,100M+,"Racing,Car race,Arcade,Multiplayer,Competitive multiplayer,Single player,Realistic,Vehicles,Car,Driving,Offline"
com.my.cooking.chef.kitchen.craze.fever,My Cooking: Restaurant Game,4.7star,50M+,"Simulation,Time management,Arcade,Single player,Stylized,Cooking,Chef,Offline"
com.kongregate.mobile.burritobison3.google,Burrito Bison: Launcha Libre,4.7star,10M+,"Action,Arcade,Single player,Stylized,Cartoon,Battling,Smash & beat,Offline"
com.Boomware.CafePanic,Cafe Panic: Cooking games,4.4star,10M+,"Simulation,Time management,Arcade,Single player,Stylized,Cooking,Food,Offline,Play Pass"
com.protostar.starfish,Super Starfish,4.8star,10M+,"Action,Arcade,Single player,Stylized,Science fiction,Space,Offline,Play Pass"
com.halfbrick.jetpackjoyride,Jetpack Joyride,4.3star,100M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Experiences,Flying,Intense,Offline"
com.deuscraft.TurboTeam,Grand Hotel Mania: Hotel games,3.8star,10M+,"Simulation,Time management,Arcade,Single player,Stylized,Resort & hotel,Offline"
com.devsisters.gb,CookieRun: OvenBreak,4.3star,10M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Cartoon,Jump,Cute"
com.imangi.templerun,Temple Run,4.3star,500M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Miscellaneous,Relics,Intense,Offline"
com.playgendary.sportmasters,Bouncemasters Arcade Jump Game,4.6star,100M+,"Action,Arcade,Single player,Stylized,Animals,Penguin,Tundra,Offline"
com.sybogames.brim,Blades of Brim,4.4star,10M+,"Action,Platformer,Runner,Arcade,Single player,Stylized,Offline"
com.halfbrick.fruitninjafree,Fruit Ninja®,3.3star,500M+,"Action,Arcade,Multiplayer,Competitive multiplayer,Single player,Stylized,Cartoon,Food,Fruit,Slice"
com.masomo.basketballarena,Basketball Arena: Sport Game,4.4star,10M+,"Sports,Basketball,Arcade,Multiplayer,Competitive multiplayer,Stylized,Cartoon,Athlete,Sports"
com.qiiwi.backpackergo,Backpacker™ Go!,3.1star,100K+,"Board,Dice,Casual,Single player,Stylized"
com.yellowdot.ThemBombsGP,Them Bombs: co-op board game,4.7star,1M+,"Board,Party,Casual,Multiplayer,Competitive multiplayer,Stylized,Offline"
com.FrameOfMindGames.ChessCraft,ChessCraft,4.6star,500K+,"Board,Abstract strategy,Chess,Casual,Multiplayer,Competitive multiplayer,Single player,Realistic,Competitive,Offline"
com.northstargames.oceans,Oceans Board Game,4.0star,50K+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Ocean,Offline"
com.northstargames.evolutiongame,Evolution Board Game,4.0star,100K+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Competitive,Offline,Play Pass"
com.bss.game.DicastRoc,Dicast: Rules of Chaos,4.1star,1M+,"Board,Abstract strategy,Multiplayer,Competitive multiplayer,Stylized,Battling,Miscellaneous,Dice"
com.joycity.god,Game of Dice: Board&Card&Anime,4.1star,5M+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Anime,Miscellaneous,Dice,Miscellaneous,Board games"
com.WhatWapp.Backgammon.Multiplayer,Backgammon Clubs,4.1star,500K+,"Board,Abstract strategy,Backgammon,Casual,Multiplayer,Competitive multiplayer,Realistic,Competitive"
com.direwolfdigital.root,Root Board Game,4.8star,100K+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Miscellaneous,Board games,Battling,Offline"
ru.zonkpro,Farkle Pro - 10000 dice game,4.7star,100K+,"Board,Dice,Casual,Single player,Stylized,Miscellaneous,Dice,Offline"
com.moonactive.cmboard,Coin Master - Board Adventure,2.5star,1M+,"Board,Dice,Stylized"
com.algorocks.dadoo,"DADOO - Board, Card and Chaos",3.5star,100K+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Stylized,Cartoon"
com.FrameOfMindGames.ChessCraft,ChessCraft,4.6star,500K+,"Board,Abstract strategy,Chess,Casual,Multiplayer,Competitive multiplayer,Single player,Realistic,Competitive,Offline"
com.northstargames.oceans,Oceans Board Game,4.0star,50K+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Ocean,Offline"
com.northstargames.evolutiongame,Evolution Board Game,4.0star,100K+,"Board,Abstract strategy,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Competitive,Offline,Play Pass"
